Date,Open,High,Low,Close,Adj Close,Volume
2023-05-01,306.9700012207031,308.6000061035156,305.1499938964844,305.55999755859375,304.24932861328125,21294100
2023-05-02,307.760009765625,309.17999267578125,303.9100036621094,305.4100036621094,304.0999450683594,26404400
2023-05-03,306.6199951171875,308.6099853515625,304.0899963378906,304.3999938964844,303.09429931640625,22360800
2023-05-04,306.239990234375,307.760009765625,303.3999938964844,305.4100036621094,304.0999450683594,22519900
2023-05-05,305.7200012207031,311.9700012207031,304.2699890136719,310.6499938964844,309.3174743652344,28181200
2023-05-08,310.1300048828125,310.20001220703125,306.0899963378906,308.6499938964844,307.3260803222656,21318600
2023-05-09,308.0,310.0400085449219,306.30999755859375,307.0,305.68316650390625,21340800
2023-05-10,308.6199951171875,313.0,307.6700134277344,312.30999755859375,310.9703674316406,30078000
2023-05-11,310.1000061035156,311.1199951171875,306.260009765625,310.1099853515625,308.77978515625,31680200
2023-05-12,310.54998779296875,310.6499938964844,306.6000061035156,308.9700012207031,307.64471435546875,19758100
2023-05-15,309.1000061035156,309.8999938964844,307.5899963378906,309.4599914550781,308.1325988769531,16336500
2023-05-16,309.8299865722656,313.7099914550781,309.8299865722656,311.739990234375,310.4028015136719,26730300
2023-05-17,312.2900085449219,314.42999267578125,310.739990234375,314.0,313.33660888671875,24315000
2023-05-18,314.5299987792969,319.0400085449219,313.7200012207031,318.5199890136719,317.8470458984375,27276000
2023-05-19,316.739990234375,318.75,316.3699951171875,318.3399963378906,317.66741943359375,27529500
2023-05-22,318.6000061035156,322.5899963378906,318.010009765625,321.17999267578125,320.5014343261719,24115700
2023-05-23,320.0299987792969,322.7200012207031,315.25,315.260009765625,314.59393310546875,30797200
2023-05-24,314.7300109863281,316.5,312.6099853515625,313.8500061035156,313.1869201660156,23384900
2023-05-25,323.239990234375,326.8999938964844,320.0,325.9200134277344,325.2314147949219,43301700
2023-05-26,324.0199890136719,333.3999938964844,323.8800048828125,332.8900146484375,332.18670654296875,36630600
2023-05-30,335.2300109863281,335.739990234375,330.5199890136719,331.2099914550781,330.5102233886719,29503100
2023-05-31,332.2900085449219,335.94000244140625,327.3299865722656,328.3900146484375,327.6961975097656,45950600
2023-06-01,325.92999267578125,333.5299987792969,324.7200012207031,332.5799865722656,331.8773193359375,26773900
2023-06-02,334.25,337.5,332.54998779296875,335.3999938964844,334.6913757324219,25864000
2023-06-05,335.2200012207031,338.55999755859375,334.6600036621094,335.94000244140625,335.2302551269531,21307100
2023-06-06,335.3299865722656,335.3699951171875,332.1700134277344,333.67999267578125,332.9750061035156,20396200
2023-06-07,331.6499938964844,334.489990234375,322.5,323.3800048828125,322.69677734375,40717100
2023-06-08,323.94000244140625,326.6400146484375,323.3500061035156,325.260009765625,324.57281494140625,23277700
2023-06-09,324.989990234375,329.989990234375,324.4100036621094,326.7900085449219,326.0995788574219,22514900
2023-06-12,328.5799865722656,332.1000061035156,325.1600036621094,331.8500061035156,331.1488952636719,24260300
2023-06-13,334.4700012207031,336.9800109863281,330.3900146484375,334.2900085449219,333.583740234375,22951300
2023-06-14,334.3399963378906,339.0400085449219,332.80999755859375,337.3399963378906,336.6272888183594,26003800
2023-06-15,337.4800109863281,349.8399963378906,337.20001220703125,348.1000061035156,347.36456298828125,38899100
2023-06-16,351.32000732421875,351.4700012207031,341.95001220703125,342.3299865722656,341.6067199707031,46533600
2023-06-20,339.30999755859375,342.0799865722656,335.8599853515625,338.04998779296875,337.3357849121094,26375400
2023-06-21,336.3699951171875,337.7300109863281,332.07000732421875,333.55999755859375,332.8552551269531,25117800
2023-06-22,334.1199951171875,340.1199951171875,333.3399963378906,339.7099914550781,338.9922790527344,23556800
2023-06-23,334.3599853515625,337.9599914550781,333.45001220703125,335.0199890136719,334.3121643066406,23084700
2023-06-26,333.7200012207031,336.1099853515625,328.489990234375,328.6000061035156,327.90576171875,21520600
2023-06-27,331.8599853515625,336.1499938964844,329.29998779296875,334.57000732421875,333.8631591796875,24354100
2023-06-28,334.6600036621094,337.9800109863281,333.80999755859375,335.8500061035156,335.14044189453125,20259500
2023-06-29,334.7099914550781,336.1099853515625,332.6199951171875,335.04998779296875,334.34210205078125,16997000
2023-06-30,337.75,342.7300109863281,337.20001220703125,340.5400085449219,339.8205261230469,26823800
2023-07-03,339.19000244140625,340.8999938964844,336.57000732421875,337.989990234375,337.2759094238281,12508700
2023-07-05,335.0899963378906,341.6499938964844,334.7300109863281,338.1499938964844,337.4355773925781,18172400
2023-07-06,337.29998779296875,342.989990234375,335.5,341.2699890136719,340.5489807128906,28161200
2023-07-07,339.32000732421875,341.7900085449219,337.0,337.2200012207031,336.5075378417969,21185300
2023-07-10,334.6000061035156,335.2300109863281,327.5899963378906,331.8299865722656,331.12890625,32791400

